Student_ID ,First Name,Last Name,Full Name,Age,Sex,Enrollment Date, Total Payment ,Course 
154,Sophia,Taylor,Sophia Taylor,22,F,2022," $1,200.00 ",Machine Learning
155,James,Anderson,James Anderson,24,M,2022, $950.00 ,Data Science
156,Isabella,Martinez,Isabella Martinez,26,F,2023," $1,150.00 ",Data Science
157,May,Thompson,May Thompson,20,M,2022," $1,050.00 ",Web Devops
158,Mia,Hernandez,Mia Hernandez,23,F,2022," $1,350.00 ",Machine Learning
159,Alexander,Davis,Alexander Davis,21,M,2022, $920.00 ,Data Science
161,Daniel,White,Daniel White,24,M,2021, $970.00 ,Web Devops
162,Emily,Murphy,Emily Murphy,21,F,2023," $1,270.00 ",Machine Learning
163,Ben,Thompson,Ben Thompson,20,M,2022," $1,050.00 ",Web Devops
164,Mia,Hernandez,Mia Hernandez,23,F,2022," $1,350.00 ",Machine Learning
165,Alexander,Davis,Alexander Davis,21,M,2022, $920.00 ,Data Science
166,Adeniran,Omoshola,Adeniran Omoshola,22,F,2021," $50,000.00 ",Data Analysis
167,Iwueze,Olaoluwa,Iwueze Olaoluwa,23,M,2020," $55,000.00 ",Data Analysis
168,Faramotu,Ismail,Faramotu Ismail,23,M,2020," $60,500.00 ",Data Analysis
169,Ifarele,Adeola,Ifarele Adeola,23,M,2022," $66,550.00 ",Data Analysis
170,Folorunsho,Dada,Folorunsho Dada,22,M,2022," $73,205.00 ",Web Devops
171,Ikechukwu,Victor,Ikechukwu Victor,22,M,2024," $80,526.00 ",Web Devops
172,Ahmed,Mohammed,Ahmed Mohammed,23,F,2021," $88,578.00 ",Web Devops
173,Binta,Sanni,Binta Sanni,22,F,2021," $97,436.00 ",Web Devops
174,Chukwu,Ike,Chukwu Ike,22,M,2022," $107,179.00 ",Web Devops
175,Ola,Enioluwa,Ola Enioluwa,22,F,2021," $117,897.00 ",Machine Learning
176,Okafor,Chike,Okafor Chike,23,M,2020," $129,687.00 ",Data Analysis
177,Chika,Nwosu,Chika Nwosu,23,F,2021," $142,656.00 ",Data Analysis
178,Eze,Chinedu,Eze Chinedu,22,M,2023," $156,921.00 ",Data Analysis
179,Adaobi,Ekeinde,Adaobi Ekeinde,23,M,2023," $172,614.00 ",Data Analysis
180,Yusuf,Ibrahim,Yusuf Ibrahim,22,M,2005," $189,875.00 ",Cyber Security
181,Amaka,Azikiwe,Amaka Azikiwe,23,M,2023," $208,862.00 ",Cyber Security
182,Onyeka,Okonkwo,Onyeka Okonkwo,23,F,2016," $229,749.00 ",Cyber Security
183,Chioma,Adebayo,Chioma Adebayo,22,F,2022," $252,724.00 ",Cyber Security
184,Ifeanyi,Ekpo,Ifeanyi Ekpo,22,F,2022," $277,996.00 ",Cyber Security
185,Ngozi,Abubakar,Ngozi Abubakar,20,F,2024," $305,795.00 ",Cyber Security
186,Abdul,Nasiru,Abdul Nasiru,21,F,2023," $336,375.00 ",Cyber Security
187,Zainab,Adeyemi,Zainab Adeyemi,19,F,2022," $370,012.00 ",Cyber Security
188,Obinna,Onwuka,Obinna Onwuka,25,F,2023," $407,014.00 ",Data Analysis
189,Amina,Osagie,Amina Osagie,40,M,2005," $447,715.00 ",Data Analysis
190,Chinonso,Uche,Chinonso Uche,23,M,2023," $492,487.00 ",Data Analysis
191,Femi,Abdullahi,Femi Abdullahi,22,M,2023," $541,735.00 ",Data Analysis
192,Hallima,Bakare,Hallima Bakare,23,M,2022," $595,909.00 ",Data Analysis
193,Chibuzo,Mohammed,Chibuzo Mohammed,21,M,2020," $655,500.00 ",Data Analysis
194,Oluchi,Iwuoha,Oluchi Iwuoha,22,F,2021," $721,050.00 ",Machine Learning
195,Emeka,Anikulapo,Emeka Anikulapo,19,M,2024," $793,155.00 ",Data Analysis
196,Hadiza,Ogundipe,Hadiza Ogundipe,18,M,2022," $872,470.00 ",Data Analysis
199,Idris,Ibrahim,Idris Ibrahim,23,M,2024," $1,161,258.00 ",Web Devops
201,Umar,Abdullahi,Umar Abdullahi,22,M,2024," $1,405,122.00 ",Web Devops
202,Nkem,Adebayo,Nkem Adebayo,20,M,2024," $1,545,634.00 ",Web Devops
203,Ayodele,Osagie,Ayodele Osagie,22,F,2021," $1,700,197.00 ",Machine Learning
204,Chinwedu,Ekpo,Chinwedu Ekpo,21,M,2020," $1,870,217.00 ",Machine Learning
205,Fatima,Azikiwe,Fatima Azikiwe,22,F,2021," $2,057,239.00 ",Data Analysis
206,Chukwudi,Ekeinde,Chukwudi Ekeinde,19,M,2022," $2,262,963.00 ",Cyber Security
207,Kemi,Uche,Kemi Uche,18,M,2022," $2,489,259.00 ",Cyber Security
208,Jide,Bakare,Jide Bakare,18,M,2023," $2,738,185.00 ",Cyber Security
209,Adaobi,Iwuoha,Adaobi Iwuoha,19,M,2022," $3,012,003.00 ",Cyber Security
210,Suleiman,Mohammed,Suleiman Mohammed,23,M,2020," $3,313,204.00 ",Cyber Security
211,Ifeoluwa,Anikulapo,Ifeoluwa Anikulapo,23,M,2023," $3,644,524.00 ",Cyber Security
213,Ngozi,Eze,Ngozi Eze,24,F,2022," $1,400.00 ",Machine Learning
214,Ifeoluwa,Adewale,Ifeoluwa Adewale,21,M,2022, $900.00 ,Data Science
216,Kehinde,Bakare,Kehinde Bakare,20,M,2021, $950.00 ,Web Devops
217,Amara,Okonkwo,Amara Okonkwo,25,F,2022," $1,300.00 ",Machine Learning
218,Uche,Adebayo,Uche Adebayo,19,M,2022," $1,000.00 ",Data Science
219,Nneka,Nwachukwu,Nneka Nwachukwu,22,F,2022," $1,200.00 ",Machine Learning
220,Emeka,Okafor,Emeka Okafor,24,M,2022, $950.00 ,Data Science
221,Chinyere,Nwosu,Chinyere Nwosu,26,F,2023," $1,150.00 ",Data Science
222,Obinna,Onyekachi,Obinna Onyekachi,20,M,2022," $1,050.00 ",Web Devops
223,Chinwe,Okoye,Chinwe Okoye,23,F,2022," $1,350.00 ",Machine Learning
224,Ugochukwu,Okafor,Ugochukwu Okafor,21,M,2022, $920.00 ,Data Science
226,Obi,Okonkwo,Obi Okonkwo,24,M,2021, $970.00 ,Web Devops
227,Amina,Adekunle,Amina Adekunle,21,F,2022," $1,270.00 ",Machine Learning
228,Ibrahim,Okafor,Ibrahim Okafor,22,M,2022, $950.00 ,Data Science
229,Zainab,Abiodun,Zainab Abiodun,23,F,2022," $1,050.00 ",Web Devops
230,Nasiru,Adebayo,Nasiru Adebayo,24,M,2022," $1,120.00 ",Data Science
231,Aisha,Okonkwo,Aisha Okonkwo,25,F,2023," $1,300.00 ",Machine Learning
117,,,,,,," $36,537,647.00 ",
